;;"Original dataset";;;;;;;"Augmented dataset";;;;;;
"model";"dataset";"target";"accuracy";"f1_score";"precision";"recall";"kappa";"roc_auc";"accuracy";"f1_score";"precision";"recall";"kappa";"roc_auc";"Test set size"
;;"Other";0,333;0,500;0,500;0,500;-0,500;0,250;0,667;0,800;0,667;1,000;0,000;0,500;3
;"race";"English";0,667;0,667;0,500;1,000;0,400;0,750;0,667;0,667;0,500;1,000;0,400;0,750;3
;;"Lithuanian";0,892;0,900;0,837;0,973;0,784;0,892;0,865;0,881;0,787;1,000;0,730;0,865;74
;;"Dark-skinned";0,940;0,943;0,911;0,976;0,881;0,940;0,905;0,909;0,870;0,952;0,810;0,905;84
;;"Indian";0,667;0,800;0,667;1,000;0,000;0,500;0,667;0,800;0,667;1,000;0,000;0,500;3
;;"American";0,958;0,958;0,958;0,958;0,917;0,958;0,917;0,920;0,885;0,958;0,833;0,917;48
;;"French";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;4
;;"Roma";1,000;1,000;1,000;1,000;1,000;1,000;0,972;0,973;0,947;1,000;0,944;0,972;36
;;"Palestinians";0,920;0,929;0,867;1,000;0,839;0,917;0,920;0,929;0,867;1,000;0,839;0,917;25
;;"Other-African";0,800;0,800;0,667;1,000;0,615;0,833;0,800;0,800;0,667;1,000;0,615;0,833;5
;;"Polish";0,902;0,906;0,857;0,960;0,804;0,903;0,882;0,893;0,806;1,000;0,766;0,885;51
;;"Ukrainian";0,813;0,813;0,813;0,813;0,625;0,813;0,844;0,857;0,789;0,938;0,688;0,844;32
;;"Russian";0,910;0,911;0,900;0,923;0,819;0,910;0,910;0,914;0,881;0,949;0,819;0,909;155
;;"Mongolian";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;3
;;"Jewish";0,958;0,960;0,923;1,000;0,917;0,958;0,933;0,937;0,894;0,983;0,867;0,933;120
;;"Central-Asian";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;13
;;"Other-Asian";1,000;1,000;1,000;1,000;1,000;1,000;0,800;0,857;0,750;1,000;0,545;0,750;5
;;"Latvian";1,000;1,000;1,000;1,000;1,000;1,000;0,800;0,800;1,000;0,667;0,615;0,833;5
;;"Arab";0,914;0,912;0,929;0,897;0,828;0,914;0,931;0,935;0,879;1,000;0,862;0,931;58
;;"Chinese";0,667;0,800;0,667;1,000;0,000;0,500;0,667;0,800;0,667;1,000;0,000;0,500;3
;;"Unspecified-ethnicity";0,889;0,902;0,821;1,000;0,777;0,886;0,867;0,875;0,840;0,913;0,733;0,866;45
;;"German";1,000;1,000;1,000;1,000;1,000;1,000;0,500;0,667;0,500;1,000;0,000;0,500;2
;;"Belorussian";0,962;0,960;1,000;0,923;0,923;0,962;0,923;0,923;0,923;0,923;0,846;0,923;26
;"political";"PP_LP";0,833;0,857;0,750;1,000;0,667;0,833;0,833;0,857;0,750;1,000;0,667;0,833;6
;;"PV_OTHER";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;3
;;"PP_Other";0,771;0,778;0,778;0,778;0,542;0,771;0,743;0,769;0,714;0,833;0,483;0,740;35
;;"PP_LSDP";0,913;0,917;0,868;0,971;0,826;0,914;0,928;0,930;0,892;0,971;0,855;0,928;69
;;"PP_DP";0,778;0,786;0,786;0,786;0,555;0,777;0,741;0,759;0,733;0,786;0,479;0,739;27
;;"PP_TS-LKD";0,876;0,870;0,917;0,828;0,753;0,876;0,853;0,851;0,864;0,839;0,707;0,853;348
;;"PP_NS";0,667;0,667;1,000;0,500;0,400;0,750;1,000;1,000;1,000;1,000;1,000;1,000;3
;;"PV_Politician";0,781;0,792;0,757;0,830;0,561;0,780;0,743;0,739;0,756;0,723;0,487;0,743;187
;;"PV_Pro-Russian";0,910;0,909;0,921;0,897;0,821;0,910;0,923;0,927;0,884;0,974;0,846;0,923;78
;;"PV_Liberal";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;10
;;"PV_Eponyms";0,857;0,861;0,838;0,886;0,714;0,857;0,871;0,877;0,842;0,914;0,743;0,871;70
;;"PV_Conservative";0,909;0,911;0,891;0,932;0,818;0,909;0,875;0,876;0,867;0,886;0,750;0,875;88
;;"PP_LS";0,938;0,941;0,889;1,000;0,875;0,938;0,938;0,941;0,889;1,000;0,875;0,938;16
;;"PP_Tautininkai";0,667;0,667;1,000;0,500;0,400;0,750;0,333;0,500;0,500;0,500;-0,500;0,250;3
;;"AC_Political-activists";0,714;0,667;0,800;0,571;0,429;0,714;0,786;0,769;0,833;0,714;0,571;0,786;14
;"orientation";"Gay-Men";0,764;0,811;0,776;0,849;0,499;0,744;0,775;0,828;0,762;0,906;0,512;0,744;89
;;"Pedophile";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;7
;;"Transgender-Individuals";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;8
;;"Trans-women";0,750;0,800;0,667;1,000;0,500;0,750;0,500;0,667;0,500;1,000;0,000;0,500;4
;;"Females";0,875;0,857;1,000;0,750;0,750;0,875;0,875;0,857;1,000;0,750;0,750;0,875;8
;;"Males-";0,667;0,667;0,500;1,000;0,400;0,750;0,667;0,667;0,500;1,000;0,400;0,750;3
;;"Lesbians";0,833;0,824;0,875;0,778;0,667;0,833;0,889;0,889;0,889;0,889;0,778;0,889;18
;;"S,Orientation-Other-";0,600;0,667;0,500;1,000;0,286;0,667;0,400;0,571;0,400;1,000;0,000;0,500;5
;;"Homosexual-individuals";0,714;0,750;0,750;0,750;0,417;0,708;0,714;0,800;0,667;1,000;0,364;0,667;7
"LitLatBERT";"country";"Poland";0,429;0,600;0,429;1,000;0,000;0,500;0,429;0,600;0,429;1,000;0,000;0,500;7
;;"Germany";0,667;0,000;0,000;0,000;0,000;0,500;0,333;0,500;0,333;1,000;0,000;0,500;3
;;"UK";0,400;0,000;0,000;0,000;0,000;0,500;0,600;0,750;0,600;1,000;0,000;0,500;5
;;"Israel";0,471;0,000;0,000;0,000;-0,117;0,444;0,471;0,640;0,471;1,000;0,000;0,500;17
;;"Palestine-region";0,500;0,000;0,000;0,000;0,000;0,500;1,000;1,000;1,000;1,000;1,000;1,000;4
